symbol,sources
CAT,"chat_gpt,claude,google"
CMCSA,"chat_gpt,claude,google"
DE,"chat_gpt,claude,google"
F,chat_gpt
FOX,chat_gpt
GE,"chat_gpt,google"
GM,chat_gpt
HAL,"chat_gpt,claude"
MRO,chat_gpt
NUE,"chat_gpt,claude"
SLB,"chat_gpt,claude"
T,"chat_gpt,google"
UPS,"chat_gpt,google"
VLO,chat_gpt
XOM,"chat_gpt,claude,google"
COP,"claude,google"
CVX,"claude,google"
DIS,"claude,google"
FCX,claude
GOOGL,"claude,google"
JNJ,claude
META,"claude,google"
NEM,claude
PG,claude
X,claude
DJT,twitter
ETN,google
PH,google
TDG,google
TT,google
RUM,experts
BRCC,experts
LNG,experts
UNP,experts
IBIT,experts
MSTR,experts
MARA,experts
